id	partNo	chapterNo	sectionNo	problemNo	examYearRaw	examYears	sourcePage	partTitle	chapterTitle	sectionTitle	questionText	answerText	explanationText	checkStatus	note
DoeActualExam_P3_C2_S1_Q001	3	2	1	1	18	2018	p.97	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	위험평가절차의 개요	다음의 내용을 읽고 그 내용이 옳은지 판단하고, 옳지 않을 경우 그 이유를 설명하시오.\n\n일반적으로 위험평가단계에서 활용되는 감사증거의 입수방법은 질문, 관찰, 검사, 분석적절차이다.	옳다.		NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S1_Q002	3	2	1	2	23	2023	p.97	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	위험평가절차의 개요	회계감사기준에서는 감사인은 재무제표 및 경영진주장 수준의 중요왜곡표시위험 식별과 평가에 대한 근거를 제공하기 위하여 위험평가절차를 수행하여야 한다고 정하고 있다. 위험평가절차를 수행할 때 일반적으로 사용하는 감사증거입수방법을 모두 기재하시오.	분석적절차, 질문, 관찰 및 검사		NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S1_Q003	3	2	1	3	14	2014	p.97-99	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	위험평가절차의 개요	다음 [보기]는 감사인이 중요왜곡표시위험(RMM)의 식별과 평가를 위해서 취하는 감사증거수집방법(감사기술)에 대한 설명이다.\n\n[요구사항]\n위 내용과 관련하여 아래 질문에 답하시오.\n(a) 회계감사기준에서 제시한 중요왜곡표시위험(RMM)의 파악·평가를 위한 감사증거수집방법 중 `관찰과 검사` 방법을 제외한 나머지 2가지 감사증거수집방법을 기재하시오.\n(b) 위 [보기]의 (1)~(6) 항목이 (a)에서의 감사증거수집방법 중 어느 방법에 해당되는 설명인지 모두 기재하시오.	| 감사증거수집방법 | 해당 절차 내용 |\n|---|---|\n| 분석적절차 | (1), (3), (5) |\n| 질문 | (4), (6) |		NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S1_Q004	3	2	1	4	14	2014	p.99	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	위험평가절차의 개요	회계감사기준에서는 감사인이 위험평가절차를 수행할 때 추가감사절차의 설계와 수행에 대한 근거를 제공하기 위해서 중요왜곡표시위험(Risk of Material Misstatements: RMM)을 식별하고 평가하도록 정하고 있다. 회계감사기준에서는 이러한 중요왜곡표시위험(RMM)을 2가지 수준(차원)으로 구분하여 식별하고 평가하도록 정하고 있다. 이러한 RMM의 2가지 수준(차원)이 무엇인지 2줄 이내로 기술하시오.	감사인은 ① 재무제표 수준과 ② 거래유형, 계정잔액 및 공시에 대한 경영진주장 수준에서 중요왜곡표시위험을 식별하고 평가하여야 한다.		NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S2_Q001	3	2	2	1	14수정	2014	p.100	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	위험평가절차와 관련활동	회계감사기준에서는 중요왜곡표시위험(RMM)을 식별하고 평가하는 과정의 일부로서 식별된 위험 중에서 유의적인 위험이 있는지 판단하도록 정하고 있다. 다음은 이러한 유의적 위험의 감사절차 적용에 관련된 설명들이다.\n\n[요구사항]\n유의적 위험에 대한 위 설명 내용 중에서 잘못된 내용 유무를 O/X로 표시하고, X인 경우에는 잘못된 내용을 각각 2줄 이내로 설명하시오.	| 항목 | O/X | X 판단근거 |\n|---|---|---|\n| (A) | O |  |\n| (B) | X | 회계추정치의 도출에 있어 서로 상이하게 해석될 수 있는 유의적 판단사항이 존재하는 경우 불확실성으로 인하여 유의적 위험이 증가한다. |\n| (C) | O |  |		NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S2_Q002	3	2	2	2	25수정	2025	p.102	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	위험평가절차와 관련활동	감사인은 고유위험을 평가할 때, 왜곡표시의 발생가능성과 규모를 평가하여야 하며, 그 과정에서 고유위험요소가 관련 경영진주장의 왜곡표시가능성에 영향을 미치는 방법과 그 정도를 고려하여야 한다. 반도체제품을 생산하는 (주)새별전자의 현장책임회계사인 이두상 회계사는 감사계획시 여러 상황을 확인하였다. 이두상 회계사가 고유위험을 평가할 때, 위의 상황과 관련하여 고려하여야 할 고유위험요소를 모두 기재하시오.	① 주관성\n② 변화\n③ 불확실성\n④ 경영진 편의나 고유위험에 영향을 미치는 한 기타 부정위험요소로 인한 왜곡표시 가능성	반도체 시장의 급격한 기술발전은 변화와 관련되어 있고, 유형자산의 손상이나 반도체제품의 진부화는 회계추정치에 해당하므로 주관성, 불확실성 및 기타 부정위험요소로 인한 왜곡표시 가능성과 관련된다.	NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S2_Q003	3	2	2	3	20	2020	p.102-103	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	위험평가절차와 관련활동	Y회계법인은 가전제품을 생산하는 K(주)의 20x1년 12월 31일로 종료하는 회계연도의 재무제표에 대한 회계감사를 신규로 수임하였다. Y회계법인은 감사계획을 수립하고 있으며, 매출 계정을 담당한 김 회계사는 여러 사항을 파악한 후 매출 부문별로 내부통제 감사계획을 수립하였다.\n\n[요구사항]\n각 항목번호(①~④)별로 감사계획이 적절한지 여부를 기재하고, 적절하지 않은 항목번호에 대해서는 그 이유를 2줄 이내로 서술하시오.	① 적절하다.\n② 적절하다.\n③ 적절하지 않다. 진공청소기가 차지하는 비중이 중요하고, 김 회계사는 진공청소기 부문과 냉장고 부문의 매출 각각에 대하여 부정위험이 존재하는 것으로 가정하였을 뿐만 아니라, 회계감사기준에서는 감사인의 평가결과와 관계없이 중요한 거래유형, 계정잔액 및 공시에 대해서는 반드시 실증절차를 수행하도록 요구하고 있기 때문에 내부통제가 효과적으로 운영되고 있다고 평가하더라도 반드시 실증절차를 수행하여야 한다.\n④ 적절하지 않다. 냉장고 매출은 청소기 매출에 비해서 그 비중이 상대적으로 낮다고 하더라도 재무제표에서 차지하는 비중이 중요하고, 매출에 부정위험이 존재하는 상황으로서 유의적 위험에 해당한다. 유의적 위험으로 결정된 경우, 그 위험에 대처하는 통제를 식별하여, 그 통제가 효과적으로 설계되었는지 여부를 평가하고, 그 통제가 실행되었는지 여부를 결정하여야 하므로 통제의 이해를 생략해서는 안 된다.		NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S2_Q004	3	2	2	4	25	2025	p.104	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	위험평가절차와 관련활동	다음은 (주)대한이 발행한 전환상환우선주에 대한 감사절차와 관련하여 업무수행이사인 이형식 회계사와 금융상품 계정담당자인 김대충 회계사가 나눈 대화이다. 위의 대화에서 잘못된 감사절차 두 가지를 각각 1줄 이내로 서술하시오.	① 김대충 회계사는 복합금융상품에 대한 감사경험이 없어 적격성이 결여되었다.\n② 유의적 위험으로 결정된 경우, 그 위험에 대처하는 통제를 식별하여, 그 통제가 효과적으로 설계되었는지 여부를 평가하고, 그 통제가 실행되었는지 여부를 결정하여야 함에도 불구하고, 바로 실증절차를 수행할 예정이다.	설령 감사인측 전문가를 활용하더라도, 감사인은 감사인측 전문가가 수행한 업무의 적합성을 평가하여야 한다.	NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S3_Q001	3	2	3	1	21	2021	p.105	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	평가된 위험에 대한 대응과 계획수립	다음은 감사위험 등에 관한 설명이다. 해당 설명이 적절한지 여부를 기재하고, 적절하지 않은 경우 그 이유를 서술하시오.\n\n감사인은 재무제표 수준의 평가된 중요왜곡표시위험을 기초로 하여 이에 대응하는 추가감사절차의 성격, 시기 및 범위를 설계하고 수행하여야 한다.	적절하지 않다. 왜냐하면, 감사인은 재무제표 수준의 평가된 중요왜곡표시위험에 대처하기 위한 전반적인 대응을 설계하고 실행하여야 하고(330-6), 감사인은 경영진주장 수준의 평가된 중요왜곡표시위험을 기초로 하여 이에 대응하는 추가감사절차의 성격, 시기 및 범위를 설계하고 수행하여야 하기 때문이다(330-6).		NEEDS_CHECK	OCR 원문 반영
DoeActualExam_P3_C2_S3_Q002	3	2	3	2	09	2009	p.105	회계감사의 시작과 위험평가절차	위험평가절차와 평가된 위험에 대한 대응	평가된 위험에 대한 대응과 계획수립	경영진주장 수준의 중요왜곡표시위험에 대한 감사인의 평가결과와 실증절차 간에는 명확한 연관관계가 있다. 감사인은 중요왜곡표시위험이 높을수록 더욱 설득력 있는 감사증거를 입수하여야 한다. 실증절차에서 더욱 설득력 있는 감사증거를 입수하는 방법을 세 가지 영역으로 구분하여 서술하시오.	| 영역 | 더욱 설득력 있는 감사증거 입수 방법 |\n|---|---|\n| 실증절차의 성격 | ① 보다 신뢰할 수 있거나 관련성이 있는 감사증거를 입수한다. ② 추가적인 확인적 정보를 입수하기 위하여 변경한다. |\n| 실증절차의 시기 | ① 보고기간말 또는 보고기간말에 근접한 때에 실증절차를 수행한다. ② 불시에 또는 예측불가능한 시기에 감사절차를 수행한다. |\n| 실증절차의 범위 | ① 표본규모를 확대한다. ② 보다 세부적인 수준에서 분석적절차를 수행한다. |		NEEDS_CHECK	OCR 원문 반영
